comarca,serventia,codigo_serventia,colunas_nao_correspondentes
AGUAS LINDAS DE GOIAS,"2a VARA CIVEL, FAMILIA E SUCESSOES",11529,
AGUAS LINDAS DE GOIAS,2a VARA CRIMINAL (CRIMES EM GERAL),14596,
AGUAS LINDAS DE GOIAS,"2a VARA DE FAZENDAS PUBLICAS, REGISTROS PUBLICOS E AMBIENTAL",87318,
AGUAS LINDAS DE GOIAS,3a VARA CRIMINAL (CRIMES EM GERAL),79331,
AGUAS LINDAS DE GOIAS,JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,87319,
AGUAS LINDAS DE GOIAS,JUIZADO ESPECIAL CIVEL E CRIMINAL,11531,
ANICUNS,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81438,
ANICUNS,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81439,
ANICUNS,CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83739,
ARAGARCAS,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81440,
ARAGARCAS,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81441,
BOM JESUS DE GOIAS,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81442,
BOM JESUS DE GOIAS,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81443,
CAIAPONIA,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL E JUIZADO ESPECIAL CIVEL)",81444,
CAIAPONIA,"2a VARA JUDICIAL (FAZENDAS PUBLICAS, CRIMINAL, EXECUCAO PENAL E JUIZADO CRIMINAL)",81445,
CALDAS NOVAS,12o CEJUSC REGIONAL VIRTUAL DO INTERIOR,88732,
