comarca,serventia,codigo_serventia,colunas_nao_correspondentes
NOVO GAMA,"1a VARA (CIVEL, DE FAMILIA, SUCESSOES E DA INFANCIA E DA JUVENTUDE)",13162,
PLANALTINA,"1a VARA (CIVEL, DE FAMILIA, SUCESSOES E DA INFANCIA E DA JUVENTUDE)",13163,
SANTO ANTONIO DO DESCOBERTO,"1a VARA (CIVEL, DE FAMILIA, SUCESSOES E DA INFANCIA E DA JUVENTUDE)",13164,
SENADOR CANEDO,1a VARA CIVEL,13166,
FORMOSA,2a VARA CRIMINAL (CRIMES EM GERAL E VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER),13171,
ARUANA,VARA JUDICIAL,13173,
NOVA CRIXAS,VARA JUDICIAL,13175,
LUZIANIA,2a VARA CRIMINAL (CRIMES EM GERAL),13176,
ANAPOLIS,4o JUIZADO ESPECIAL CIVEL,13226,
LUZIANIA,JUIZADO DA INFANCIA E DA JUVENTUDE,13227,
CIDADE OCIDENTAL,"2a VARA (CIVEL, DAS FAZENDAS PUBLICAS, DE REGISTROS PUBLICOS E AMBIENTAL)",13300,
PLANALTINA,"2a VARA (CIVEL, DAS FAZENDAS PUBLICAS, DE REGISTROS PUBLICOS E AMBIENTAL)",13304,
SANTO ANTONIO DO DESCOBERTO,"2a VARA (CIVEL, DAS FAZENDAS PUBLICAS, DE REGISTROS PUBLICOS E AMBIENTAL)",13305,
SENADOR CANEDO,2a VARA CIVEL,13307,
VALPARAISO DE GOIAS,"2a VARA (CIVEL, DAS FAZENDAS PUBLICAS, DE REGISTROS PUBLICOS E AMBIENTAL)",13308,
ANAPOLIS,"VARA DA FAZ. PUB. MUN.,DE REG. PUB., E AMB.",13364,
ANAPOLIS,6a VARA CIVEL,13365,
ANAPOLIS,4a VARA CRIMINAL (PRESIDENCIA DO TRIBUNAL DO JURI E EXECUCOES PENAIS),13366,
APARECIDA DE GOIANIA,3a VARA CIVEL,13367,
APARECIDA DE GOIANIA,4a VARA CIVEL,13368,
